id,native_text,target_text,cefr_level,is_public,collection_id,unit_type,structure,function,grammar_points
2199,Sáng nay tôi thức dậy với chứng đau bụng.,This morning I woke up with an upset stomach.,Sơ cấp (A2),True,880,sentence,simple,declarative,past_simple|pronoun|verb|adjective|noun|preposition|determiner|noun_phrase|verb_phrase|adverb_phrase|prepositional_phrase
2200,Cục đá.,Stone.,Vỡ lòng (A1),True,881,word,,,noun
2201,Ai đã ném đá vào con chó của tôi?,Who threw a stone at my dog?,Sơ cấp (A2),True,881,sentence,simple,interrogative,past_simple|question_form|pronoun|noun_phrase|prepositional_phrase
2202,Cậu bé nhặt một hòn đá và ném vào con chó.,The boy picked up a stone and threw it at the dog.,Sơ cấp (A2),True,881,sentence,compound,declarative,past_simple|noun_phrase|verb_phrase|conjunction|determiner|pronoun|prepositional_phrase|preposition
2203,Cái lò.,Stove.,Vỡ lòng (A1),True,882,word,,,noun
2204,Bạn đã tắt bếp chưa?,Did you turn off the stove?,Vỡ lòng (A1),True,882,sentence,simple,interrogative,past_simple|question_form
2205,Hôm qua họ mua một cái bếp mới.,They bought a new stove yesterday.,Sơ cấp (A2),True,882,sentence,simple,declarative,past_simple|noun_phrase|adverb
2206,Người lạ.,Stranger.,Vỡ lòng (A1),True,883,word,,,noun
2207,Cô ấy đối xử với tôi như người lạ.,She treats me like a stranger.,Sơ cấp (A2),True,883,sentence,simple,declarative,present_simple|pronoun|verb|preposition|determiner|noun|prepositional_phrase|comparison
2208,Anh ta hoàn toàn xa lạ với tôi.,He is a complete stranger to me.,Sơ cấp (A2),True,883,sentence,simple,declarative,present_simple|pronoun|verb|determiner|adjective|noun|preposition|noun_phrase|prepositional_phrase
2209,Suối.,Stream.,Vỡ lòng (A1),True,884,word,,,noun|verb
2210,Chúng ta có thể băng qua suối ở đâu?,Where can we cross the stream?,Sơ cấp (A2),True,884,sentence,simple,interrogative,question_form|modal|pronoun|verb|determiner|noun|adverb
2211,Có một ngôi nhà bên kia suối.,There is a house across the stream.,Vỡ lòng (A1),True,884,sentence,simple,declarative,present_simple|verb|noun|determiner|preposition|noun_phrase|prepositional_phrase
2212,Kéo dài.,Stretch.,Vỡ lòng (A1),True,885,word,,,verb
2213,Tôi không thể duỗi thẳng tay ra.,I can't stretch my arms out.,Sơ cấp (A2),True,885,sentence,simple,declarative,modal|negation|pronoun|verb|noun_phrase
2214,Bạn cần phải khởi động trước khi tập thể dục.,You need to stretch before exercising.,Vỡ lòng (A1),True,885,sentence,simple,declarative,present_simple|pronoun|verb_phrase|prepositional_phrase|preposition|verb
2215,Nghiêm ngặt.,Strict.,Vỡ lòng (A1),True,886,word,,,adjective
2216,Bố tôi rất nghiêm khắc.,My father is very strict.,Vỡ lòng (A1),True,886,sentence,simple,declarative,present_simple|noun_phrase|verb|adverb|adjective
2217,Bạn phải tuân thủ chế độ ăn kiêng nghiêm ngặt để giảm cân.,You have to go on a strict diet to lose weight.,Sơ cấp (A2),True,886,sentence,simple,declarative,present_simple|modal|reason_result|pronoun|verb|preposition|determiner|adjective|noun|verb_phrase|noun_phrase
2218,Đánh đập.,Strike.,Vỡ lòng (A1),True,887,word,,,verb
2219,Chiếc xe đâm vào cây.,The car struck the tree.,Vỡ lòng (A1),True,887,sentence,simple,declarative,past_simple|noun_phrase|determiner|noun|verb
2220,Tôi thấy dường như không ai sẵn lòng giúp đỡ.,It strikes me that nobody is willing to help.,Sơ cấp (A2),True,887,sentence,complex,declarative,present_simple|negation|conjunction
2221,Đấu tranh.,Struggle.,Sơ cấp (A2),True,888,word,,,verb
2222,Chúng tôi đang cố gắng vượt qua khó khăn.,We're trying to struggle.,Vỡ lòng (A1),True,888,sentence,simple,declarative,present_continuous|pronoun|verb_phrase
2223,Đó là một cuộc đấu tranh đầy khó khăn.,It was an uphill struggle.,Sơ cấp (A2),True,888,sentence,simple,declarative,past_simple|pronoun|verb|determiner|adjective|noun|noun_phrase
2224,Phòng thu.,Studio.,Vỡ lòng (A1),True,889,word,,,noun
2225,Anh ấy có một phòng thu âm.,He has a recording studio.,Vỡ lòng (A1),True,889,sentence,simple,declarative,present_simple|pronoun|verb|noun_phrase
2226,Cô ấy làm việc cho một hãng phim lớn ở Hollywood.,She works for a major Hollywood studio.,Sơ cấp (A2),True,889,sentence,simple,declarative,present_simple|pronoun|verb|preposition|determiner|adjective|noun|prepositional_phrase|noun_phrase
2227,Đáng kể.,Substantial.,Sơ cấp (A2),True,890,word,,,adjective
2228,Có những khác biệt đáng kể giữa hai nhóm.,There are substantial differences between the two groups.,Trung cấp (B1),True,890,sentence,simple,declarative,present_simple|noun|adjective|preposition|determiner|noun_phrase|prepositional_phrase
2229,Điều này sẽ giúp chúng ta tiết kiệm được một lượng thời gian đáng kể.,This will save us a substantial amount of time.,Sơ cấp (A2),True,890,sentence,simple,declarative,future_will|pronoun|verb|determiner|adjective|noun_phrase
2230,Về cơ bản.,Substantially.,Sơ cấp (A2),True,891,word,,,adverb
2231,Chi phí đã tăng lên đáng kể.,The costs have increased substantially.,Sơ cấp (A2),True,891,sentence,simple,declarative,present_perfect|noun_phrase|verb_phrase|adverb|determiner|noun|verb
2232,Các phương pháp này về cơ bản là giống nhau.,These methods are substantially the same.,Trung cấp (B1),True,891,sentence,simple,declarative,present_simple|noun_phrase|verb|adverb|adjective_phrase
2233,Hợp lý.,Sufficient.,Sơ cấp (A2),True,892,word,,,adjective
2234,Anh ấy có thu nhập đủ để nuôi sống gia đình.,He has a sufficient income to support his family.,Sơ cấp (A2),True,892,sentence,simple,declarative,present_simple|pronoun|verb|determiner|adjective|noun|noun_phrase|verb_phrase
2235,Tôi có đủ thời gian để trả lời tất cả các câu hỏi của bạn.,I have sufficient time to answer all your questions.,Sơ cấp (A2),True,892,sentence,simple,declarative,present_simple|pronoun|verb|adjective|noun|determiner|noun_phrase|verb_phrase
2236,Đủ rồi.,Sufficiently.,Sơ cấp (A2),True,893,word,,,adverb
2237,Hãy đảm bảo nhiệt độ đủ lạnh.,Make sure that the temperature is sufficiently cold.,Sơ cấp (A2),True,893,sentence,complex,imperative,present_simple|verb|noun|adjective|adverb|conjunction|verb_phrase|noun_phrase|adjective_phrase
2238,Sức khỏe của cô ấy đã cải thiện đủ để có thể trở lại làm việc.,Her health has improved sufficiently to allow her to return to work.,Sơ cấp (A2),True,893,sentence,simple,declarative,present_perfect|noun_phrase|adverb|verb|pronoun|preposition|noun
2239,Gợi ý.,Suggest.,Sơ cấp (A2),True,894,word,,,verb
2240,Bạn có thể đề xuất một giải pháp khác không?,Can you suggest another solution?,Sơ cấp (A2),True,894,sentence,simple,interrogative,modal|question_form|verb|pronoun|determiner|noun
2241,Tôi đề xuất một cách tiếp cận khác cho vấn đề này.,I suggest a different approach to this problem.,Sơ cấp (A2),True,894,sentence,simple,declarative,present_simple|pronoun|verb|determiner|adjective|noun|preposition|noun_phrase|prepositional_phrase
2242,Bản tóm tắt.,Summary.,Sơ cấp (A2),True,895,word,,,noun
2243,"Tóm lại, đây là một màn trình diễn đáng thất vọng.","In summary, this was a disappointing performance.",Sơ cấp (A2),True,895,sentence,simple,declarative,past_simple|adjective|noun|determiner|adverb_phrase|noun_phrase
2244,Sau đây là tóm tắt các kết luận của chúng tôi.,The following is a summary of our conclusions.,Sơ cấp (A2),True,895,sentence,simple,declarative,present_simple|noun_phrase|verb|prepositional_phrase|determiner|noun
2245,Thượng đẳng.,Superior.,Sơ cấp (A2),True,896,word,,,adjective
2246,Tôi muốn nói chuyện với cấp trên của anh/chị.,I want to talk to your superior.,Sơ cấp (A2),True,896,sentence,simple,declarative,present_simple|pronoun|verb|preposition|determiner|noun|verb_phrase|prepositional_phrase
2247,Tác phẩm của cô ấy vượt trội hơn bất kỳ ai khác ở đây.,Her work is superior to anyone else's here.,Sơ cấp (A2),True,896,sentence,simple,declarative,present_simple|comparison|noun|verb|adjective|preposition|pronoun|adverb|noun_phrase|adjective_phrase
2248,Chắc chắn rồi.,Surely.,Vỡ lòng (A1),True,897,word,,,adverb
2249,Đó chắc chắn là một sự hiểu lầm.,That's surely a misunderstanding.,Sơ cấp (A2),True,897,sentence,simple,declarative,present_simple|pronoun|adverb|noun_phrase
2250,Đây chắc chắn là món tráng miệng ngon nhất mà bạn từng làm.,This is surely the best dessert you have ever made.,Vỡ lòng (A1),True,897,sentence,complex,declarative,present_simple|relative_clause|comparison|adverb|noun_phrase|pronoun|verb_phrase
2251,Âm thanh vòm.,Surround.,Vỡ lòng (A1),True,898,word,,,verb
2252,Cảnh sát đã bao vây tòa nhà.,Police surrounded the building.,Sơ cấp (A2),True,898,sentence,simple,declarative,past_simple|noun|verb|determiner|noun_phrase
2253,Hồ nước này được bao quanh bởi những ngọn núi.,The lake is surrounded by mountains.,Sơ cấp (A2),True,898,sentence,simple,declarative,present_simple|passive|determiner|noun|verb|preposition|noun_phrase|prepositional_phrase
2254,Xung quanh.,Surrounding.,Sơ cấp (A2),True,899,word,,,verb
2255,Khu vực xung quanh rất yên tĩnh.,The surrounding area is very quiet.,Sơ cấp (A2),True,899,sentence,simple,declarative,present_simple|noun_phrase|adjective_phrase|determiner|adjective|adverb|verb
2256,Từ đây bạn có thể nhìn thấy vùng nông thôn xung quanh.,From here you can see the surrounding countryside.,Sơ cấp (A2),True,899,sentence,simple,declarative,modal|prepositional_phrase|pronoun|verb|determiner|adjective|noun|noun_phrase|verb_phrase
2257,Sự khảo sát.,Survey.,Sơ cấp (A2),True,900,word,,,noun|verb
2258,Chúng tôi đang tiến hành một cuộc khảo sát.,We're conducting a survey.,Vỡ lòng (A1),True,900,sentence,simple,declarative,present_continuous|pronoun|noun_phrase
2259,Họ sẽ khảo sát lại khu đất này trong tháng này.,They will survey the land again this month.,Sơ cấp (A2),True,900,sentence,simple,declarative,future_will|modal|pronoun|verb|determiner|noun|adverb|noun_phrase|verb_phrase
2260,Sưng lên.,Swollen.,Sơ cấp (A2),True,901,word,,,adjective
2261,Mặt cô ấy sưng phù.,Her face is swollen.,Sơ cấp (A2),True,901,sentence,simple,declarative,present_simple|noun_phrase|adjective|verb|determiner
2262,Đôi mắt cô ấy đỏ hoe và sưng húp vì khóc.,Her eyes were red and swollen from crying.,Sơ cấp (A2),True,901,sentence,simple,declarative,past_simple|noun|determiner|adjective|conjunction|prepositional_phrase
2263,Biểu tượng.,Symbol.,Vỡ lòng (A1),True,902,word,,,noun
2264,Sư tử là biểu tượng của lòng dũng cảm.,The lion is a symbol of courage.,Sơ cấp (A2),True,902,sentence,simple,declarative,present_simple|noun_phrase|determiner|noun|verb|preposition
2265,"Tôi không biết biểu tượng này tượng trưng cho điều gì, nó tượng trưng cho sức mạnh và sự chính trực.","I don't know what this symbol stands for, it stands for strength and integrity.",Sơ cấp (A2),True,902,sentence,compound_complex,declarative,present_simple|negation|question_form|noun|conjunction
2266,Sự đồng cảm.,Sympathy.,Vỡ lòng (A1),True,903,word,,,noun
2267,Tôi không hề có chút cảm thông nào dành cho cô ta.,I have no sympathy for her.,Sơ cấp (A2),True,903,sentence,simple,declarative,present_simple|negation|pronoun|verb|noun|preposition
2268,Tôi không cần sự thông cảm của bạn.,I'm not looking for your sympathy.,Sơ cấp (A2),True,903,sentence,simple,declarative,present_continuous|negation|pronoun|verb|determiner|noun|preposition|noun_phrase|verb_phrase|prepositional_phrase
2269,Các kỹ thuật.,Techniques.,Sơ cấp (A2),True,904,word,,,noun
2270,Chúng tôi đã học được một số kỹ thuật để giảm căng thẳng.,We learned some techniques for relieving stress.,Sơ cấp (A2),True,904,sentence,simple,declarative,past_simple|pronoun|verb|determiner|noun|preposition|noun_phrase|prepositional_phrase
2271,Kỹ thuật này có ưu điểm gì so với các kỹ thuật truyền thống?,What is the advantage of this technique over traditional techniques?,Sơ cấp (A2),True,904,sentence,simple,interrogative,question_form|present_simple|noun|adjective|preposition|determiner|noun_phrase
2272,Tạm thời.,Temporarily.,Sơ cấp (A2),True,905,word,,,adverb
2273,Dịch vụ này hiện tạm thời không khả dụng.,This service is temporarily unavailable.,Sơ cấp (A2),True,905,sentence,simple,declarative,present_simple|noun_phrase|verb|adverb|adjective
2274,Cửa hàng tạm thời đóng cửa để sửa chữa.,The store is temporarily closed for renovations.,Sơ cấp (A2),True,905,sentence,simple,declarative,present_simple|passive|noun_phrase|adverb|prepositional_phrase
2275,Có khuynh hướng.,Tend.,Vỡ lòng (A1),True,906,word,,,verb
2276,Tôi dễ tăng cân.,I tend to gain weight easily.,Sơ cấp (A2),True,906,sentence,simple,declarative,present_simple|pronoun|verb|noun|adverb|verb_phrase
2277,Phụ nữ thường sống lâu hơn nam giới.,Women tend to live longer than men.,Sơ cấp (A2),True,906,sentence,simple,declarative,present_simple|comparison|noun|verb
2278,Lều.,Tent.,Vỡ lòng (A1),True,907,word,,,noun
2279,Chúng tôi ngủ trong một cái lều rất nhỏ.,We slept in a very small tent.,Sơ cấp (A2),True,907,sentence,simple,declarative,past_simple|pronoun|verb|prepositional_phrase|adjective|noun
2280,Họ đến khu cắm trại và dựng lều.,They arrived at the campsite and put up the tent.,Sơ cấp (A2),True,907,sentence,compound,declarative,past_simple|conjunction|pronoun|verb_phrase|prepositional_phrase|noun_phrase
2281,Nhà hát.,Theater.,Sơ cấp (A2),True,908,word,,,noun
2282,Chúng ta hãy gặp nhau trước rạp hát.,Let's meet in front of the theater.,Vỡ lòng (A1),True,908,sentence,simple,imperative,verb|pronoun|preposition|determiner|noun|prepositional_phrase|noun_phrase|verb_phrase
2283,Phía sau rạp chiếu phim có một bãi đậu xe.,There is a parking lot behind the theater.,Sơ cấp (A2),True,908,sentence,simple,declarative,present_simple|noun_phrase|prepositional_phrase|verb|determiner|preposition|noun
2284,Độ dày.,Thickness.,Sơ cấp (A2),True,909,word,,,noun
2285,Hãy sử dụng gỗ có độ dày ít nhất mười hai milimét.,Use wood of at least twelve millimeters thickness.,Sơ cấp (A2),True,909,sentence,simple,imperative,present_simple|verb|noun|preposition|determiner|prepositional_phrase|noun_phrase
2286,Các bức tường có độ dày ít nhất 20 cm.,The walls are at least 20 centimeters in thickness.,Sơ cấp (A2),True,909,sentence,simple,declarative,present_simple|noun_phrase|verb|prepositional_phrase|determiner|noun
2287,Kỹ lưỡng.,Thorough.,Vỡ lòng (A1),True,910,word,,,adjective
2288,Anh ấy rất kỹ lưỡng trong mọi việc.,He is very thorough about everything.,Vỡ lòng (A1),True,910,sentence,simple,declarative,present_simple|pronoun|verb|adverb|adjective|preposition|adjective_phrase|prepositional_phrase
2289,Một cuộc điều tra kỹ lưỡng hiện đang được tiến hành.,A thorough investigation is now in progress.,Sơ cấp (A2),True,910,sentence,simple,declarative,present_continuous|noun_phrase|verb|adjective|adverb|prepositional_phrase|determiner|noun
2290,Đe dọa.,Threatening.,Sơ cấp (A2),True,911,word,,,verb|adjective
2291,Anh ta đã gửi cho tôi một lá thư đe dọa.,He sent me a threatening letter.,Sơ cấp (A2),True,911,sentence,simple,declarative,past_simple|pronoun|verb|determiner|adjective|noun|noun_phrase
2292,"""Anh không nên làm thế,"" hắn nói với giọng đe dọa.","You shouldn't have done that, he said in a threatening tone.",Sơ cấp (A2),True,911,sentence,compound,declarative,past_simple|modal|negation|pronoun|verb|preposition|adjective|noun|verb_phrase|prepositional_phrase
2293,Ném.,Throw.,Vỡ lòng (A1),True,912,word,,,verb
2294,Bạn muốn tôi vứt nó đi à?,Do you want me to throw it away?,Vỡ lòng (A1),True,912,sentence,complex,interrogative,present_simple|question_form|verb_phrase|pronoun
2295,"Đừng vứt bỏ cuốn tạp chí này, tôi chưa đọc nó.","Don't throw away this magazine, I haven't read it yet.",Vỡ lòng (A1),True,912,sentence,compound,imperative,present_perfect|negation|pronoun|determiner|noun|verb_phrase|conjunction
2296,Ngăn nắp.,Tidy.,Vỡ lòng (A1),True,913,word,,,adjective|verb
2297,Phòng của anh ấy lúc nào cũng gọn gàng.,His room is always tidy.,Vỡ lòng (A1),True,913,sentence,simple,declarative,present_simple|determiner|noun|verb|adverb|adjective|noun_phrase|verb_phrase
2298,Hãy giữ phòng của bạn gọn gàng và ngăn nắp.,Keep your room neat and tidy.,Vỡ lòng (A1),True,913,sentence,simple,imperative,verb|determiner|noun|adjective|conjunction|adjective_phrase
2299,Rất chặt.,Tightly.,Vỡ lòng (A1),True,914,word,,,adverb
2300,Hãy bám chặt vào lan can.,Hold on tightly to the railing.,Vỡ lòng (A1),True,914,sentence,simple,imperative,present_simple|verb|adverb|preposition|determiner|noun|verb_phrase|prepositional_phrase
2301,Hành lý được buộc chặt trên nóc xe.,The luggage was secured tightly to the top of the car.,Sơ cấp (A2),True,914,sentence,simple,declarative,past_simple|passive|noun_phrase|adverb|prepositional_phrase
2302,Giữ lấy.,Hold on.,Vỡ lòng (A1),True,915,phrase,,,verb|verb_phrase
2303,Chờ một chút nhé? Tôi sẽ xem anh ấy có ở đây không.,Can you hold on a second? I'll see if he's here.,Sơ cấp (A2),True,915,sentence,simple,interrogative,modal|question_form|pronoun|verb_phrase|preposition|determiner|noun
2304,Nhỏ xíu.,Tiny.,Vỡ lòng (A1),True,916,word,,,adjective
2305,Chỉ có một vấn đề nhỏ thôi.,There's just one tiny problem.,Vỡ lòng (A1),True,916,sentence,simple,declarative,present_simple|adverb|determiner|adjective|noun|noun_phrase
2306,Loại côn trùng này tuy nhỏ nhưng rất nguy hiểm.,This insect is tiny but very dangerous.,Sơ cấp (A2),True,916,sentence,simple,declarative,present_simple|noun_phrase|verb|adjective|adverb|conjunction
2307,Mẹo.,Tip.,Vỡ lòng (A1),True,917,word,,,verb
2308,Ông ấy đã boa cho người phục vụ rất hậu hĩnh.,He gave the waiter a generous tip.,Sơ cấp (A2),True,917,sentence,simple,declarative,past_simple|pronoun|verb|determiner|noun|adjective|noun_phrase
2309,Tên anh ấy cứ văng vẳng trong đầu tôi.,His name is on the tip of my tongue.,Sơ cấp (A2),True,917,sentence,simple,declarative,present_simple|noun|verb|preposition|determiner|noun_phrase|verb_phrase|prepositional_phrase
2310,Mệt mỏi.,Tiring.,Sơ cấp (A2),True,918,word,,,adjective
2311,Đây là một công việc rất mệt mỏi.,It's a very tiring job.,Sơ cấp (A2),True,918,sentence,simple,declarative,present_simple|pronoun|verb|determiner|adverb|adjective|noun|noun_phrase
2312,Đó là một ngày dài và mệt mỏi.,"It was a long, tiring day.",Sơ cấp (A2),True,918,sentence,simple,declarative,past_simple|pronoun|verb|determiner|adjective|noun|noun_phrase
2313,Dụng cụ.,Tool.,Vỡ lòng (A1),True,919,word,,,noun
2314,Tôi cần một số dụng cụ làm vườn.,I need some garden tools.,Vỡ lòng (A1),True,919,sentence,simple,declarative,present_simple|pronoun|verb|determiner|noun|noun_phrase
2315,Tôi không có đủ dụng cụ cần thiết để làm công việc này.,I don't have the right tools to do the job.,Sơ cấp (A2),True,919,sentence,simple,declarative,present_simple|negation|pronoun|verb|determiner|adjective|noun|noun_phrase|verb_phrase
2316,Du khách.,Tourist.,Vỡ lòng (A1),True,920,word,,,noun
2317,Hiện đang là mùa du lịch.,It's the tourist season now.,Sơ cấp (A2),True,920,sentence,simple,declarative,present_simple|pronoun|verb|determiner|noun_phrase|adverb
2318,Văn phòng thông tin du lịch nằm ở đâu?,Where is the Tourist Information Office?,Sơ cấp (A2),True,920,sentence,simple,interrogative,present_simple|question_form|noun_phrase
2319,Dấu vết.,Trace.,Vỡ lòng (A1),True,921,word,,,verb
2320,Anh ta biến mất không dấu vết.,He disappeared without a trace.,Sơ cấp (A2),True,921,sentence,simple,declarative,past_simple|pronoun|verb|prepositional_phrase|preposition|determiner|noun
2321,Có manh mối nào về đứa trẻ mất tích không?,Is there any trace of the missing child?,Sơ cấp (A2),True,921,sentence,simple,interrogative,present_simple|question_form|determiner|noun|adjective|prepositional_phrase
2322,Theo dõi.,Track.,Vỡ lòng (A1),True,922,word,,,verb
2323,Chúng ta đang đi đúng hướng.,We're on the right track.,Sơ cấp (A2),True,922,sentence,simple,declarative,present_simple|pronoun|verb|prepositional_phrase|adjective|noun
2324,Tôi sẽ theo dõi tất cả các khoản chi phí trong chuyến đi này.,I'm going to keep track of all the expenses on this trip.,Sơ cấp (A2),True,922,sentence,simple,declarative,future_going_to|pronoun|verb_phrase|noun|preposition|determiner|noun_phrase|prepositional_phrase
2325,Buôn bán.,Trade.,Sơ cấp (A2),True,923,word,,,verb
2326,Thương mại giữa hai nước đã tăng lên.,Trade between the two countries has increased.,Sơ cấp (A2),True,923,sentence,simple,declarative,present_perfect|noun_phrase|prepositional_phrase
2327,"Nếu bạn không thích chỗ ngồi hiện tại, tôi sẽ đổi chỗ với bạn.","If you don't like your seat, I'll trade with you.",Sơ cấp (A2),True,923,sentence,complex,declarative,conditional|negation|future_will
2328,Biến đổi.,Transform.,Vỡ lòng (A1),True,924,word,,,verb
2329,Internet đã làm thay đổi nhiều khía cạnh trong cuộc sống của chúng ta.,The internet has transformed many aspects of our lives.,Sơ cấp (A2),True,924,sentence,simple,declarative,present_perfect|noun_phrase|verb_phrase|prepositional_phrase
2330,Nhà máy cũ đã được cải tạo thành một phòng trưng bày nghệ thuật.,The old factory has been transformed into an art gallery.,Sơ cấp (A2),True,924,sentence,simple,declarative,present_perfect|passive|noun_phrase|prepositional_phrase|determiner|adjective|noun|verb|preposition
2331,Dịch thuật.,Translation.,Sơ cấp (A2),True,925,word,,,noun
2332,Cuốn sách mất đi một phần giá trị khi được dịch sang ngôn ngữ khác.,The book loses something in translation.,Sơ cấp (A2),True,925,sentence,simple,declarative,present_simple|noun_phrase|verb_phrase|prepositional_phrase|determiner|noun|verb|pronoun|preposition
2333,Cô ấy đang dịch cuốn tiểu thuyết đó.,She is working on a translation of the novel.,Sơ cấp (A2),True,925,sentence,simple,declarative,present_continuous|pronoun|verb_phrase|preposition|noun_phrase|prepositional_phrase|noun|determiner
2334,Trong suốt.,Transparent.,Sơ cấp (A2),True,926,word,,,adjective
2335,Tôi rất minh bạch về công việc của mình.,I'm very transparent about my work.,Sơ cấp (A2),True,926,sentence,simple,declarative,present_simple|pronoun|verb|adjective|adverb|prepositional_phrase
2336,Đôi cánh của loài côn trùng này gần như trong suốt.,The insect's wings are almost transparent.,Sơ cấp (A2),True,926,sentence,simple,declarative,present_simple|noun|determiner|noun_phrase|verb|adverb|adjective|adjective_phrase
2337,Côn trùng.,Insect.,Sơ cấp (A2),True,927,word,,,noun
2338,"Trong tiếng Anh, bạn gọi loại côn trùng này là gì?",What do you call this insect in English?,Sơ cấp (A2),True,927,sentence,simple,interrogative,question_form|present_simple|noun|pronoun|determiner|preposition|prepositional_phrase
2339,Người du lịch.,Traveler.,Sơ cấp (A2),True,928,word,,,noun
2340,Anh ấy đang bận rộn trò chuyện với những người cùng đi du lịch.,He is busy chatting with fellow travelers.,Sơ cấp (A2),True,928,sentence,simple,declarative,present_continuous|pronoun|verb|adjective|preposition|noun|verb_phrase|prepositional_phrase
2341,Sân bay có thể phục vụ một lượng lớn hành khách.,The airport can handle large numbers of travelers.,Sơ cấp (A2),True,928,sentence,simple,declarative,modal|noun_phrase|determiner|noun|verb|adjective|preposition
2342,Ống.,Tube.,Vỡ lòng (A1),True,929,word,,,noun
2343,Tôi muốn mua một tuýp kem đánh răng cỡ lớn.,I want a large tube of toothpaste.,Vỡ lòng (A1),True,929,sentence,simple,declarative,present_simple|pronoun|verb|adjective|noun_phrase|prepositional_phrase
2344,Bạn không thể cho kem đánh răng trở lại vào tuýp.,You can't put toothpaste back in the tube.,Sơ cấp (A2),True,929,sentence,simple,declarative,modal|negation|pronoun|verb|noun|preposition|determiner|prepositional_phrase
2345,Đường hầm.,Tunnel.,Vỡ lòng (A1),True,930,word,,,noun
2346,Họ biến mất vào đường hầm.,They disappeared into the tunnel.,Sơ cấp (A2),True,930,sentence,simple,declarative,past_simple|pronoun|verb|prepositional_phrase|preposition|noun|determiner
2347,Đoàn tàu đi qua đường hầm.,The train passed through the tunnel.,Sơ cấp (A2),True,930,sentence,simple,declarative,past_simple|noun|verb|preposition|determiner|noun_phrase|prepositional_phrase
2348,Tối thượng.,Ultimate.,Sơ cấp (A2),True,931,word,,,adjective
2349,Điểm đến cuối cùng của họ là Luân Đôn.,Their ultimate destination was London.,Sơ cấp (A2),True,931,sentence,simple,declarative,past_simple|noun|verb|adjective|determiner|noun_phrase|verb_phrase
2350,Kết quả cuối cùng là gì?,What was the ultimate result?,Sơ cấp (A2),True,931,sentence,simple,interrogative,past_simple|question_form|determiner|adjective|noun|verb
2351,Cuối cùng thì cũng vậy.,Ultimately.,Sơ cấp (A2),True,932,word,,,adverb
2352,"Cuối cùng, ông ấy đã đồng ý với thỏa thuận.",He ultimately agreed to the deal.,Sơ cấp (A2),True,932,sentence,simple,declarative,past_simple|pronoun|adverb|verb|prepositional_phrase|determiner|noun
2353,Tôi tin tưởng rằng kế hoạch này cuối cùng sẽ thành công.,I have confidence that the plan will ultimately succeed.,Sơ cấp (A2),True,932,sentence,complex,declarative,present_simple|relative_clause|pronoun|noun|determiner|adverb|verb
2354,Không chắc chắn.,Uncertain.,Sơ cấp (A2),True,933,word,,,adjective
2355,Thời gian khởi hành vẫn chưa được xác định.,The time of departure is still uncertain.,Sơ cấp (A2),True,933,sentence,simple,declarative,present_simple|noun_phrase|prepositional_phrase|adjective|adverb
2356,Chúng ta vẫn chưa chắc chắn về sự thật.,We are still uncertain of the truth.,Sơ cấp (A2),True,933,sentence,simple,declarative,present_simple|pronoun|verb|adverb|adjective|prepositional_phrase
2357,Sự khởi hành.,Departure.,Sơ cấp (A2),True,934,word,,,noun
2358,Giờ khởi hành là mấy giờ?,What is the departure time?,Sơ cấp (A2),True,934,sentence,simple,interrogative,question_form|present_simple|pronoun|verb|determiner|noun|noun_phrase
2359,Bất tỉnh.,Unconscious.,Vỡ lòng (A1),True,935,word,,,adjective
2360,Cô ấy dường như không để ý đến sự hiện diện của tôi.,She seemed unconscious of my presence.,Sơ cấp (A2),True,935,sentence,simple,declarative,past_simple|pronoun|verb|adjective|prepositional_phrase|noun_phrase
2361,Anh ta đang nằm bất tỉnh trên sàn nhà.,He is lying unconscious on the floor.,Vỡ lòng (A1),True,935,sentence,simple,declarative,present_continuous|pronoun|verb_phrase|adjective|prepositional_phrase
2362,Đồ lót.,Underwear.,Vỡ lòng (A1),True,936,word,,,noun
2363,Anh ta chỉ mặc mỗi quần lót.,He is wearing nothing but his underwear.,Sơ cấp (A2),True,936,sentence,simple,declarative,present_continuous|pronoun|verb|preposition|determiner|noun
2364,Sáng nay tôi đi siêu thị mua đồ lót.,This morning I went to supermarket to buy some underwear.,Sơ cấp (A2),True,936,sentence,simple,declarative,past_simple|time_sequence|reason_result|pronoun|noun|preposition|determiner
2365,Hoàn tác.,Undo.,Vỡ lòng (A1),True,937,word,,,verb
2366,Tôi không thể gỡ được nút thắt này.,I can't undo this knot.,Vỡ lòng (A1),True,937,sentence,simple,declarative,modal|negation
2367,Bạn không thể thay đổi quá khứ.,You can't undo the past.,Sơ cấp (A2),True,937,sentence,simple,declarative,modal|negation|pronoun|verb|determiner|noun|noun_phrase
2368,Thất nghiệp.,Unemployed.,Vỡ lòng (A1),True,938,word,,,adjective
2369,Hiện anh ấy đang thất nghiệp.,He is currently unemployed.,Sơ cấp (A2),True,938,sentence,simple,declarative,present_simple|pronoun|verb|adverb|adjective
2370,"Hiện nay, rất nhiều thanh niên ở Việt Nam đang thất nghiệp.",Many young people in Vietnam are currently unemployed.,Sơ cấp (A2),True,938,sentence,simple,declarative,present_simple|noun_phrase|adjective|adverb|prepositional_phrase|determiner
2371,Nạn thất nghiệp.,Unemployment.,Sơ cấp (A2),True,939,word,,,noun
